"ID_REF"	"WT.GSM130365"	"WT.GSM130366"	"WT.GSM130367"	"KO.GSM130368"	"KO.GSM130369"	"KO.GSM130370"
"102781_at"	1621.3	1141.6	1007.1	791.1	1058.8	1269.3
"102782_at"	365.3	267.6	211.7	469.5	277.1	419.4
"102783_at"	335.4	378.9	400.2	338.8	445.6	328.9
"102784_at"	50.2	24.9	40.7	22	25.6	33.8
"102785_at"	4.5	11	53.9	19	17.4	13.8
"102786_at"	868.6	1037.1	1011.3	606.9	841.9	1029.6
"102787_at"	51.1	107.9	39.3	40.1	54.9	60.1
"102788_s_at"	36.3	143.9	159.9	54.2	37	22.1
"102789_at"	512.9	509.1	431.1	444.1	498.4	402
"102790_at"	1758.2	1834.3	1909.6	1707.8	1506.6	1154.8
"102791_at"	22.9	60.4	33.5	7.9	26.5	7.9
"102792_at"	2191.2	2003.6	2107.4	3071.2	3062.8	2917.5
"102793_at"	85.7	67	52.9	62.4	57.5	49.3
"102794_at"	46.5	70.7	13.9	31.1	30.8	45.2
"102795_at"	10.3	55.1	67.7	39.4	40.8	8
"102796_at"	992.2	534.9	861.4	1050.3	640.4	781
"102797_at"	106.3	91.9	96.7	10.6	35.6	50.2
"102798_at"	24.6	24.8	15.5	24.7	32	18.5
"102799_at"	51.2	43.6	4.7	11.4	65.1	25.6
